Index,Company_name,Rating,Reviews,Industry_type,Total_headquater,Total_jobs,Total_employee
0,Tata Consultancy Services,3.9,1.2LReviews,Software Development,39 office locations,643,10000+ Employees
1,Accenture,4.1,1.5LReviews,Business Consulting,37 office locations,23T,10000+ Employees
2,Amazon,4.1,1.7LReviews,Internet & Web Services,65 office locations,9.1T,10000+ Employees
3,Cognizant Technology Solutions,3.9,84.7TReviews,Information Technology Support Services,27 office locations,4T,10000+ Employees
4,Deloitte,4.1,97.6TReviews,Accounting & Tax,33 office locations,40.5T,10000+ Employees
5,IBM,4.2,1LReviews,Information Technology Support Services,37 office locations,4.7T,10000+ Employees
6,Capgemini,4,68.5TReviews,Enterprise Software & Network Solutions,54 office locations,9.2T,10000+ Employees
7,Wipro,3.8,53.1TReviews,Information Technology Support Services,38 office locations,1.4T,10000+ Employees
8,EY,3.9,70.1TReviews,Accounting & Tax,5 office locations,13.5T,10000+ Employees
9,HCLTech,3.7,39.9TReviews,Computer Hardware Development,26 office locations,886,10000+ Employees
10,Tata Consultancy Services,3.9,1.2LReviews,Software Development,39 office locations,643,10000+ Employees
11,Accenture,4.1,1.5LReviews,Business Consulting,37 office locations,23T,10000+ Employees
12,Amazon,4.1,1.7LReviews,Internet & Web Services,65 office locations,9.1T,10000+ Employees
13,Cognizant Technology Solutions,3.9,84.7TReviews,Information Technology Support Services,27 office locations,4T,10000+ Employees
14,Deloitte,4.1,97.6TReviews,Accounting & Tax,33 office locations,40.5T,10000+ Employees
15,IBM,4.2,1LReviews,Information Technology Support Services,37 office locations,4.7T,10000+ Employees
16,Capgemini,4,68.5TReviews,Enterprise Software & Network Solutions,54 office locations,9.2T,10000+ Employees
17,Wipro,3.8,53.1TReviews,Information Technology Support Services,38 office locations,1.4T,10000+ Employees
18,EY,3.9,70.1TReviews,Accounting & Tax,5 office locations,13.5T,10000+ Employees
19,HCLTech,3.7,39.9TReviews,Computer Hardware Development,26 office locations,886,10000+ Employees
20,Oracle,3.9,48.3TReviews,Enterprise Software & Network Solutions,44 office locations,2.8T,10000+ Employees
21,PwC,3.9,71.3TReviews,Accounting & Tax,75 office locations,22.2T,1001 to 5000 Employees
22,Tech Mahindra,3.6,31.4TReviews,Information Technology Support Services,29 office locations,483,10000+ Employees
23,Microsoft,4.4,48TReviews,Computer Hardware Development,60 office locations,877,10000+ Employees
24,KPMG,3.8,54.8TReviews,Business Consulting,26 office locations,125,10000+ Employees
25,Teleperformance,4.5,47.3TReviews,Telecommunications Services,37 office locations,1.8T,10000+ Employees
26,Google,4.4,43.2TReviews,Internet & Web Services,"Headquarters in Mountain View, United States",1.8T,10000+ Employees
27,Dell Technologies,4.3,32.4TReviews,Information Technology Support Services,25 office locations,482,10000+ Employees
28,Cisco Systems,4.4,31TReviews,Enterprise Software & Network Solutions,25 office locations,493,10000+ Employees
29,Wells Fargo,3.7,45.3TReviews,Banking & Lending,26 office locations,3.7T,10000+ Employees
30,DXC Technology,3.6,23.3TReviews,Information Technology Support Services,26 office locations,1.7T,10000+ Employees
31,Genpact,4,19.8TReviews,Information Technology Support Services,64 office locations,3.4T,10000+ Employees
32,Concentrix,4.3,28.9TReviews,Information Technology Support Services,30 office locations,2.1T,10000+ Employees
33,LTI,3.8,12.3TReviews,Information Technology Support Services,27 office locations,656,10000+ Employees
